Starters,Team,Game,Win,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Larry Nance,CLE,34,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurean Prince,CLE,34,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,CLE,34,W,41,97,0.423,8,24,0.333,22,29,0.759,13,39,52,24,12,3,16,26,112
Ben Simmons,PHI,35,W,7,11,0.636,0,0,0,4,4,1,2,4,6,2,2,0,4,2,18
Joel Embiid,PHI,35,W,10,17,0.588,1,2,0.5,3,3,1,0,13,13,5,0,1,2,1,24
Mike Scott,PHI,35,W,4,4,1,3,3,1,0,0,0,0,4,4,0,4,0,2,0,11
Seth Curry,PHI,35,W,3,6,0.5,1,3,0.333,0,0,0,0,0,0,5,1,0,1,0,7
Danny Green,PHI,35,W,1,5,0.2,1,5,0.2,0,0,0,0,1,1,1,1,1,0,2,3
Shake Milton,PHI,35,W,9,14,0.643,3,5,0.6,5,5,1,1,3,4,4,0,0,2,4,26
Furkan Korkmaz,PHI,35,W,6,14,0.429,6,13,0.462,1,2,0.5,0,2,2,2,1,2,2,1,19
Matisse Thybulle,PHI,35,W,1,6,0.167,0,3,0,2,2,1,1,0,1,3,0,0,1,2,4
Tyrese Maxey,PHI,35,W,2,3,0.667,0,1,0,0,0,0,0,2,2,5,0,1,1,3,4
Dwight Howard,PHI,35,W,4,4,1,0,0,0,0,0,0,2,4,6,0,1,0,2,3,8
Tony Bradley,PHI,35,W,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
Terrance Ferguson,PHI,35,W,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
Vincent Poirier,PHI,35,W,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,35,W,50,88,0.568,15,35,0.429,15,16,0.938,6,33,39,27,10,6,19,19,130
Domantas Sabonis,IND,35,L,6,12,0.5,0,3,0,3,3,1,2,7,9,7,0,0,4,2,15
Justin Holiday,IND,35,L,4,9,0.444,4,8,0.5,0,0,0,0,2,2,2,2,0,2,2,12
Malcolm Brogdon,IND,35,L,9,17,0.529,0,3,0,2,2,1,0,4,4,4,0,0,0,2,20
Myles Turner,IND,35,L,4,7,0.571,0,2,0,3,4,0.75,0,3,3,0,1,1,0,2,11
Doug McDermott,IND,35,L,4,9,0.444,1,4,0.25,0,0,0,1,2,3,1,0,0,2,2,9
Edmond Sumner,IND,35,L,7,14,0.5,1,3,0.333,3,4,0.75,1,2,3,0,2,0,2,2,18
T.J. McConnell,IND,35,L,3,9,0.333,0,1,0,1,1,1,3,2,5,5,0,0,2,2,7
Aaron Holiday,IND,35,L,3,4,0.75,1,2,0.5,4,5,0.8,0,3,3,6,1,0,2,2,11
Goga Bitadze,IND,35,L,0,4,0,0,1,0,0,0,0,1,0,1,1,0,0,3,1,0
JaKarr Sampson,IND,35,L,3,4,0.75,1,1,1,0,0,0,0,0,0,1,1,0,2,1,7
Kelan Martin,IND,35,L,1,2,0.5,0,1,0,2,2,1,0,1,1,0,1,0,0,1,4
Jeremy Lamb,IND,35,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,IND,35,L,44,91,0.484,8,29,0.276,18,21,0.857,8,26,34,27,8,1,19,19,114
Ben Simmons,PHI,36,W,8,11,0.727,0,0,0,1,2,0.5,2,2,4,6,1,0,5,3,17
Joel Embiid,PHI,36,W,14,27,0.519,2,5,0.4,10,13,0.769,4,15,19,3,1,2,2,3,40
Tobias Harris,PHI,36,W,9,18,0.5,0,3,0,4,5,0.8,0,10,10,2,1,1,0,2,22
Seth Curry,PHI,36,W,5,7,0.714,2,4,0.5,2,2,1,0,2,2,3,1,0,1,4,14
Danny Green,PHI,36,W,1,6,0.167,1,5,0.2,0,0,0,0,4,4,0,1,1,0,0,3
Shake Milton,PHI,36,W,4,11,0.364,0,4,0,4,4,1,1,0,1,3,1,0,2,3,12
Matisse Thybulle,PHI,36,W,0,1,0,0,0,0,0,0,0,0,4,4,1,2,1,0,0,0
Mike Scott,PHI,36,W,1,2,0.5,1,2,0.5,0,0,0,0,1,1,2,0,0,0,0,3
Furkan Korkmaz,PHI,36,W,2,4,0.5,1,1,1,3,3,1,0,1,1,0,0,0,1,2,8
Dwight Howard,PHI,36,W,4,6,0.667,1,1,1,3,6,0.5,1,3,4,2,1,1,0,0,12
Vincent Poirier,PHI,36,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Bradley,PHI,36,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Ferguson,PHI,36,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrese Maxey,PHI,36,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,36,W,48,93,0.516,8,25,0.32,27,35,0.771,8,42,50,22,9,6,11,17,131
Donovan Mitchell,UTA,36,L,12,34,0.353,5,12,0.417,4,6,0.667,1,7,8,6,1,0,3,5,33
Royce O'Neale,UTA,36,L,2,7,0.286,2,6,0.333,1,2,0.5,3,7,10,5,1,0,3,2,7
Rudy Gobert,UTA,36,L,4,10,0.4,0,0,0,4,6,0.667,5,4,9,4,2,1,3,5,12
Mike Conley,UTA,36,L,6,13,0.462,3,3,1,3,3,1,0,2,2,2,0,0,0,4,18
Bojan Bogdanovik,UTA,36,L,7,15,0.467,4,10,0.4,0,0,0,0,5,5,0,0,0,0,0,18
Joe Ingles,UTA,36,L,6,7,0.857,4,5,0.8,0,0,0,0,6,6,1,1,0,3,2,16
Jordan Clarkson,UTA,36,L,3,10,0.3,2,7,0.286,2,2,1,1,4,5,2,1,0,3,1,10
Derrick Favors,UTA,36,L,2,2,1,0,0,0,0,0,0,2,5,7,2,1,0,1,4,4
Georges Niang,UTA,36,L,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
Juwan Morgan,UTA,36,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miye Oni,UTA,36,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrell Brantley,UTA,36,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Forrest,UTA,36,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,UTA,36,L,44,100,0.44,21,44,0.477,14,19,0.737,12,40,52,22,7,1,16,24,123
Danny Green,PHI,37,W,3,9,0.333,3,7,0.429,0,0,0,1,5,6,4,0,1,0,1,9
Matisse Thybulle,PHI,37,W,5,5,1,3,3,1,0,0,0,3,1,4,1,5,0,1,2,13
Seth Curry,PHI,37,W,5,15,0.333,1,6,0.167,1,1,1,0,2,2,7,2,0,1,1,12
Tobias Harris,PHI,37,W,8,15,0.533,1,3,0.333,7,8,0.875,0,3,3,4,0,0,1,0,24
Tony Bradley,PHI,37,W,7,7,1,0,0,0,0,0,0,3,2,5,0,0,3,0,2,14
Furkan Korkmaz,PHI,37,W,7,14,0.5,1,6,0.167,1,2,0.5,1,0,1,4,3,0,2,1,16
Dwight Howard,PHI,37,W,8,12,0.667,0,1,0,2,4,0.5,3,9,12,0,1,2,2,5,18
Shake Milton,PHI,37,W,5,15,0.333,0,2,0,0,0,0,1,7,8,3,0,1,2,2,10
Mike Scott,PHI,37,W,2,4,0.5,1,3,0.333,0,0,0,0,2,2,1,0,0,1,1,5
Tyrese Maxey,PHI,37,W,2,4,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
Vincent Poirier,PHI,37,W,1,2,0.5,0,0,0,0,0,0,1,1,2,1,0,0,0,1,2
Terrance Ferguson,PHI,37,W,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,37,W,53,103,0.515,10,33,0.303,11,15,0.733,13,32,45,25,11,7,10,16,127
Zach LaVine,CHI,37,L,7,16,0.438,1,5,0.2,4,4,1,0,4,4,7,0,0,4,1,19
Patrick Williams,CHI,37,L,1,4,0.25,1,2,0.5,1,2,0.5,0,1,1,4,1,0,1,3,4
Lauri Markkanen,CHI,37,L,8,11,0.727,7,7,1,0,0,0,0,4,4,0,0,1,1,1,23
Coby White,CHI,37,L,7,16,0.438,4,7,0.571,0,0,0,0,2,2,4,0,0,1,3,18
Wendell Carter,CHI,37,L,3,8,0.375,0,1,0,2,2,1,3,6,9,1,0,2,2,3,8
Tomas Satoransky,CHI,37,L,2,4,0.5,0,2,0,4,4,1,0,1,1,4,0,0,3,1,8
Garrett Temple,CHI,37,L,1,3,0.333,0,0,0,0,0,0,0,2,2,1,1,0,1,3,2
Otto Porter,CHI,37,L,1,6,0.167,1,3,0.333,0,0,0,0,3,3,1,1,0,2,0,3
Thaddeus Young,CHI,37,L,6,9,0.667,0,0,0,2,2,1,4,4,8,2,0,2,2,1,14
Daniel Gafford,CHI,37,L,2,2,1,0,0,0,0,0,0,1,1,2,1,0,0,0,3,4
Luke Kornet,CHI,37,L,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0
Ryan Arcidiacono,CHI,37,L,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
Denzel Valentine,CHI,37,L,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2
Chandler Hutchison,CHI,37,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristiano Felicio,CHI,37,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,CHI,37,L,39,83,0.47,14,29,0.483,13,16,0.813,8,30,38,26,3,6,19,19,105
Danny Green,PHI,38,W,5,9,0.556,2,5,0.4,0,0,0,0,6,6,4,2,1,0,1,12
Seth Curry,PHI,38,W,4,11,0.364,1,3,0.333,5,5,1,0,4,4,3,1,0,2,1,14
Tobias Harris,PHI,38,W,7,12,0.583,0,0,0,0,0,0,1,7,8,3,1,1,4,2,14
Matisse Thybulle,PHI,38,W,4,6,0.667,0,0,0,0,0,0,3,0,3,2,3,1,1,4,8
Joel Embiid,PHI,38,W,8,11,0.727,1,1,1,6,6,1,2,5,7,3,0,2,3,2,23
Shake Milton,PHI,38,W,8,14,0.571,1,3,0.333,1,1,1,0,2,2,4,2,0,2,2,18
Furkan Korkmaz,PHI,38,W,5,11,0.455,4,5,0.8,4,4,1,1,2,3,3,2,0,1,1,18
Mike Scott,PHI,38,W,2,4,0.5,2,2,1,0,0,0,0,2,2,2,1,0,0,0,6
Dwight Howard,PHI,38,W,2,4,0.5,0,1,0,2,2,1,3,7,10,1,0,1,2,4,6
Tony Bradley,PHI,38,W,3,4,0.75,0,0,0,0,0,0,0,3,3,1,0,0,0,1,6
Tyrese Maxey,PHI,38,W,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Vincent Poirier,PHI,38,W,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Terrance Ferguson,PHI,38,W,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
Team Totals,PHI,38,W,49,90,0.544,11,21,0.524,18,18,1,10,39,49,26,13,6,16,19,127
Russell Westbrook,WAS,38,L,10,19,0.526,2,4,0.5,3,7,0.429,1,4,5,8,1,0,2,2,25
Bradley Beal,WAS,38,L,8,13,0.615,1,2,0.5,2,4,0.5,0,2,2,1,0,0,3,0,19
Garrison Mathews,WAS,38,L,2,3,0.667,2,3,0.667,0,0,0,1,1,2,0,1,0,0,2,6
Rui Hachimura,WAS,38,L,3,5,0.6,0,0,0,3,4,0.75,0,0,0,0,2,0,1,1,9
Moritz Wagner,WAS,38,L,1,4,0.25,0,1,0,2,2,1,0,2,2,2,4,1,4,2,4
Deni Avdija,WAS,38,L,2,6,0.333,0,3,0,0,0,0,0,5,5,1,0,0,1,5,4
Robin Lopez,WAS,38,L,4,8,0.5,0,1,0,2,2,1,2,3,5,1,0,0,1,2,10
Raul Neto,WAS,38,L,3,8,0.375,1,2,0.5,0,0,0,1,2,3,4,2,0,2,2,7
Troy Brown,WAS,38,L,1,4,0.25,0,1,0,0,0,0,1,2,3,1,0,0,2,0,2
Davis Bertans,WAS,38,L,1,5,0.2,1,5,0.2,0,0,0,0,1,1,0,0,0,1,0,3
Alex Len,WAS,38,L,4,4,1,0,0,0,1,3,0.333,0,1,1,0,0,1,0,0,9
Cassius Winston,WAS,38,L,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,3
Isaac Bonga,WAS,38,L,0,2,0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0
Jerome Robinson,WAS,38,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Gill,WAS,38,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,WAS,38,L,40,82,0.488,8,24,0.333,13,22,0.591,6,26,32,19,10,2,18,16,101
Tobias Harris,PHI,39,W,10,18,0.556,1,2,0.5,2,2,1,3,6,9,7,2,1,1,1,23
Seth Curry,PHI,39,W,9,16,0.563,3,6,0.5,0,0,0,1,3,4,4,0,0,0,3,21
Ben Simmons,PHI,39,W,6,9,0.667,0,0,0,2,5,0.4,1,3,4,9,1,0,3,0,14
Danny Green,PHI,39,W,6,9,0.667,4,7,0.571,0,0,0,1,4,5,0,0,2,1,2,16
Tony Bradley,PHI,39,W,2,3,0.667,0,0,0,0,0,0,2,6,8,4,0,0,0,3,4
Dwight Howard,PHI,39,W,4,5,0.8,0,0,0,0,0,0,1,7,8,2,1,1,1,3,8
Matisse Thybulle,PHI,39,W,4,4,1,2,2,1,0,0,0,0,3,3,1,3,1,0,4,10
Furkan Korkmaz,PHI,39,W,5,7,0.714,4,4,1,2,2,1,0,1,1,2,0,0,0,2,16
Shake Milton,PHI,39,W,2,5,0.4,0,0,0,0,0,0,1,0,1,4,0,0,3,4,4
Mike Scott,PHI,39,W,2,6,0.333,0,3,0,0,0,0,0,3,3,0,0,0,0,1,4
Tyrese Maxey,PHI,39,W,2,5,0.4,0,0,0,1,2,0.5,0,1,1,2,0,1,1,0,5
Isaiah Joe,PHI,39,W,2,5,0.4,1,4,0.25,0,0,0,0,1,1,0,0,0,0,0,5
Vincent Poirier,PHI,39,W,1,4,0.25,0,0,0,0,0,0,3,1,4,0,0,0,1,3,2
Terrance Ferguson,PHI,39,W,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Paul Reed,PHI,39,W,1,1,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2
Team Totals,PHI,39,W,56,98,0.571,15,29,0.517,7,11,0.636,13,41,54,35,7,7,11,27,134
Derrick White,SAS,39,L,4,11,0.364,3,8,0.375,6,7,0.857,1,3,4,4,2,4,1,2,17
Jakob Poeltl,SAS,39,L,3,7,0.429,0,0,0,1,2,0.5,2,3,5,2,0,2,0,1,7
Keldon Johnson,SAS,39,L,5,7,0.714,0,1,0,0,0,0,0,0,0,1,0,0,0,1,10
Dejounte Murray,SAS,39,L,5,13,0.385,0,0,0,4,4,1,3,3,6,2,0,0,1,2,14
Trey Lyles,SAS,39,L,0,3,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
Drew Eubanks,SAS,39,L,6,10,0.6,0,0,0,5,7,0.714,1,8,9,2,1,2,0,3,17
Tre Jones,SAS,39,L,4,8,0.5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8
Luka Samanic,SAS,39,L,2,4,0.5,0,2,0,3,5,0.6,0,1,1,1,0,1,2,2,7
Lonnie Walker,SAS,39,L,6,7,0.857,1,2,0.5,2,2,1,0,0,0,0,0,0,0,0,15
Patty Mills,SAS,39,L,0,5,0,0,4,0,2,2,1,0,0,0,1,0,0,2,0,2
Rudy Gay,SAS,39,L,0,6,0,0,2,0,0,0,0,1,2,3,2,1,0,1,1,0
Devin Vassell,SAS,39,L,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
Quinndary Weatherspoon,SAS,39,L,1,2,0.5,0,0,0,0,0,0,0,1,1,1,3,1,1,0,2
Keita Bates-Diop,SAS,39,L,0,1,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0
Team Totals,SAS,39,L,36,85,0.424,4,21,0.19,23,31,0.742,10,22,32,20,8,10,9,13,99
Tobias Harris,PHI,40,W,11,20,0.55,4,6,0.667,4,4,1,1,5,6,2,1,2,0,4,30
Ben Simmons,PHI,40,W,8,14,0.571,0,0,0,0,1,0,3,10,13,7,0,0,3,3,16
Seth Curry,PHI,40,W,7,14,0.5,4,7,0.571,2,2,1,0,3,3,2,0,0,1,2,20
Danny Green,PHI,40,W,1,10,0.1,1,7,0.143,0,0,0,0,1,1,2,4,1,3,2,3
Tony Bradley,PHI,40,W,0,1,0,0,0,0,0,0,0,3,4,7,1,0,0,1,1,0
Dwight Howard,PHI,40,W,4,9,0.444,0,1,0,3,5,0.6,2,10,12,0,0,3,1,3,11
Furkan Korkmaz,PHI,40,W,4,12,0.333,1,6,0.167,3,5,0.6,2,1,3,0,2,0,1,0,12
Shake Milton,PHI,40,W,1,5,0.2,0,2,0,0,0,0,0,1,1,3,0,1,0,3,2
Matisse Thybulle,PHI,40,W,1,4,0.25,1,3,0.333,0,0,0,0,1,1,1,1,3,0,2,3
Mike Scott,PHI,40,W,0,1,0,0,0,0,2,2,1,1,2,3,1,0,0,1,2,2
Vincent Poirier,PHI,40,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrese Maxey,PHI,40,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Ferguson,PHI,40,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Reed,PHI,40,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Joe,PHI,40,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,40,W,37,90,0.411,11,32,0.344,14,19,0.737,12,38,50,19,8,10,11,22,99
Julius Randle,NYK,40,L,7,19,0.368,1,3,0.333,4,6,0.667,3,12,15,8,0,0,2,3,19
RJ Barrett,NYK,40,L,7,17,0.412,0,1,0,3,7,0.429,1,7,8,4,1,0,2,3,17
Reggie Bullock,NYK,40,L,4,7,0.571,3,5,0.6,1,1,1,0,5,5,0,2,0,2,5,12
Immanuel Quickley,NYK,40,L,6,11,0.545,1,5,0.2,0,1,0,0,1,1,3,1,0,1,4,13
Nerlens Noel,NYK,40,L,3,3,1,0,0,0,0,0,0,2,6,8,0,1,4,1,0,6
Alec Burks,NYK,40,L,6,15,0.4,3,8,0.375,4,5,0.8,0,4,4,2,0,1,2,3,19
Taj Gibson,NYK,40,L,4,7,0.571,0,2,0,2,2,1,1,2,3,1,0,0,0,3,10
Frank Ntilikina,NYK,40,L,0,4,0,0,0,0,0,0,0,1,0,1,1,2,0,1,2,0
Obi Toppin,NYK,40,L,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0
Kevin Knox,NYK,40,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ignas Brazdeikis,NYK,40,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Harper,NYK,40,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theo Pinson,NYK,40,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,NYK,40,L,37,84,0.44,8,24,0.333,14,22,0.636,9,38,47,19,7,5,12,23,96
Ben Simmons,PHI,41,L,6,16,0.375,1,1,1,0,0,0,4,6,10,12,2,2,7,5,13
Tobias Harris,PHI,41,L,8,23,0.348,1,4,0.25,2,2,1,2,7,9,4,2,1,2,1,19
Danny Green,PHI,41,L,6,15,0.4,6,14,0.429,0,0,0,0,6,6,0,1,1,0,3,18
Seth Curry,PHI,41,L,4,11,0.364,2,8,0.25,0,1,0,0,4,4,3,2,0,3,1,10
Tony Bradley,PHI,41,L,3,4,0.75,0,0,0,0,0,0,3,3,6,2,1,0,1,2,6
Dwight Howard,PHI,41,L,6,11,0.545,0,0,0,1,2,0.5,3,12,15,0,1,1,2,5,13
Shake Milton,PHI,41,L,7,15,0.467,1,3,0.333,0,0,0,0,3,3,4,1,0,3,3,15
Furkan Korkmaz,PHI,41,L,3,6,0.5,3,4,0.75,2,3,0.667,0,2,2,2,0,1,2,0,11
Matisse Thybulle,PHI,41,L,0,3,0,0,2,0,0,0,0,1,2,3,1,2,1,0,1,0
Mike Scott,PHI,41,L,0,5,0,0,5,0,0,0,0,0,1,1,0,2,0,0,2,0
Tyrese Maxey,PHI,41,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Poirier,PHI,41,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Reed,PHI,41,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Ferguson,PHI,41,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Joe,PHI,41,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,41,L,43,109,0.394,14,41,0.341,5,8,0.625,13,46,59,28,14,7,20,23,105
Giannis Antetokounmpo,MIL,41,W,13,22,0.591,1,5,0.2,5,8,0.625,1,14,15,5,0,0,6,3,32
Jrue Holiday,MIL,41,W,7,14,0.5,1,5,0.2,4,4,1,1,5,6,6,3,0,4,0,19
Khris Middleton,MIL,41,W,6,16,0.375,0,4,0,3,3,1,1,3,4,2,2,0,8,1,15
Brook Lopez,MIL,41,W,5,11,0.455,3,6,0.5,1,2,0.5,3,4,7,2,1,1,2,1,14
Donte DiVincenzo,MIL,41,W,7,16,0.438,4,9,0.444,2,2,1,1,7,8,5,3,0,1,3,20
Pat Connaughton,MIL,41,W,2,4,0.5,0,2,0,2,4,0.5,2,10,12,2,2,0,1,2,6
Bryn Forbes,MIL,41,W,0,10,0,0,6,0,1,1,1,0,1,1,0,0,0,0,0,1
Bobby Portis,MIL,41,W,1,8,0.125,0,2,0,0,0,0,3,2,5,0,0,0,0,1,2
Thanasis Antetokounmpo,MIL,41,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Wilson,MIL,41,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torrey Craig,MIL,41,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Merrill,MIL,41,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Nwora,MIL,41,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Augustin,MIL,41,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamadi Diakite,MIL,41,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,MIL,41,W,41,101,0.406,9,39,0.231,18,24,0.75,12,46,58,22,11,1,22,11,109
Shake Milton,PHI,42,W,9,17,0.529,1,2,0.5,9,11,0.818,0,1,1,2,1,0,2,1,28
Danny Green,PHI,42,W,7,13,0.538,4,6,0.667,0,0,0,1,2,3,2,3,0,0,2,18
Matisse Thybulle,PHI,42,W,3,6,0.5,2,4,0.5,0,0,0,1,6,7,3,1,1,0,4,8
Tobias Harris,PHI,42,W,12,18,0.667,2,3,0.667,3,3,1,1,10,11,8,2,0,0,1,29
Tony Bradley,PHI,42,W,6,8,0.75,0,0,0,2,2,1,1,7,8,1,0,1,1,3,14
Dwight Howard,PHI,42,W,4,7,0.571,0,0,0,2,4,0.5,4,9,13,1,0,0,3,0,10
Furkan Korkmaz,PHI,42,W,2,7,0.286,1,5,0.2,2,3,0.667,0,0,0,2,0,0,1,2,7
Mike Scott,PHI,42,W,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,1,1,0
Tyrese Maxey,PHI,42,W,4,7,0.571,1,1,1,0,0,0,1,0,1,1,0,0,1,3,9
Isaiah Joe,PHI,42,W,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0
Rayjon Tucker,PHI,42,W,0,0,0,0,0,0,4,4,1,0,0,0,1,0,0,0,2,4
Vincent Poirier,PHI,42,W,0,0,0,0,0,0,0,2,0,0,3,3,0,0,1,1,2,0
Terrance Ferguson,PHI,42,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Reed,PHI,42,W,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ben Simmons,PHI,42,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,42,W,48,86,0.558,11,23,0.478,22,29,0.759,9,43,52,24,7,3,10,22,129
Buddy Hield,SAC,42,L,9,17,0.529,7,13,0.538,0,0,0,0,5,5,3,0,0,2,1,25
De'Aaron Fox,SAC,42,L,5,14,0.357,0,4,0,6,9,0.667,0,4,4,6,0,0,2,3,16
Harrison Barnes,SAC,42,L,5,7,0.714,1,1,1,1,1,1,0,7,7,5,0,1,1,3,12
Richaun Holmes,SAC,42,L,4,10,0.4,0,0,0,2,2,1,2,2,4,2,0,0,2,4,10
Tyrese Haliburton,SAC,42,L,5,12,0.417,0,4,0,1,1,1,0,1,1,3,1,0,1,1,11
Cory Joseph,SAC,42,L,3,9,0.333,1,1,1,2,4,0.5,1,1,2,7,2,0,0,4,9
Justin James,SAC,42,L,2,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5
Hassan Whiteside,SAC,42,L,3,6,0.5,0,0,0,2,4,0.5,1,5,6,1,0,1,0,2,8
Nemanja Bjelica,SAC,42,L,3,5,0.6,0,1,0,0,0,0,0,2,2,0,1,0,0,1,6
Robert Woodard,SAC,42,L,0,1,0,0,1,0,3,6,0.5,0,0,0,0,0,0,0,1,3
Kyle Guy,SAC,42,L,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
DaQuan Jeffries,SAC,42,L,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
Jabari Parker,SAC,42,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,SAC,42,L,39,85,0.459,10,28,0.357,17,27,0.63,4,29,33,28,4,2,8,21,105
Ben Simmons,PHI,43,W,8,17,0.471,0,0,0,0,2,0,2,6,8,4,1,1,7,3,16
Tobias Harris,PHI,43,W,5,18,0.278,1,3,0.333,9,11,0.818,0,4,4,4,2,0,4,1,20
Danny Green,PHI,43,W,4,8,0.5,3,5,0.6,0,0,0,1,2,3,1,5,3,2,0,11
Furkan Korkmaz,PHI,43,W,4,9,0.444,3,8,0.375,1,2,0.5,0,0,0,1,2,0,0,2,12
Tony Bradley,PHI,43,W,0,1,0,0,0,0,0,2,0,2,4,6,2,0,0,1,2,0
Dwight Howard,PHI,43,W,2,4,0.5,0,0,0,0,0,0,1,12,13,2,0,2,2,3,4
Shake Milton,PHI,43,W,9,15,0.6,1,3,0.333,2,3,0.667,0,3,3,3,1,1,2,2,21
Matisse Thybulle,PHI,43,W,2,5,0.4,2,5,0.4,0,0,0,1,0,1,1,0,2,0,0,6
Mike Scott,PHI,43,W,1,1,1,1,1,1,2,3,0.667,1,2,3,0,1,0,0,3,5
Tyrese Maxey,PHI,43,W,3,4,0.75,0,0,0,0,0,0,0,3,3,1,0,0,1,2,6
Terrance Ferguson,PHI,43,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Joe,PHI,43,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
