Starters,Team,Game,Win,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
David Nwaba,HOU,29,L,3,7,0.429,1,2,0.5,0,0,0,3,7,10,1,1,2,2,2,7
Ben McLemore,HOU,29,L,5,12,0.417,1,7,0.143,0,0,0,1,4,5,0,3,0,1,3,11
Mason Jones,HOU,29,L,0,3,0,0,2,0,1,2,0.5,0,2,2,0,1,0,2,0,1
P.J. Tucker,HOU,29,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Oladipo,HOU,29,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodions Kurucs,HOU,29,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,HOU,29,L,42,92,0.457,15,47,0.319,14,18,0.778,9,30,39,26,13,6,18,24,113
Seth Curry,PHI,30,W,2,11,0.182,1,5,0.2,4,4,1,0,4,4,0,0,0,3,2,9
Danny Green,PHI,30,W,4,10,0.4,4,8,0.5,1,3,0.333,0,2,2,5,0,0,0,2,13
Tobias Harris,PHI,30,W,9,16,0.563,1,2,0.5,3,4,0.75,3,9,12,7,0,0,4,4,22
Matisse Thybulle,PHI,30,W,1,3,0.333,0,2,0,0,0,0,0,3,3,2,1,3,1,2,2
Joel Embiid,PHI,30,W,17,26,0.654,1,2,0.5,15,17,0.882,6,11,17,5,2,4,2,2,50
Tyrese Maxey,PHI,30,W,3,11,0.273,0,0,0,0,0,0,2,1,3,3,0,0,3,2,6
Dwight Howard,PHI,30,W,4,5,0.8,0,0,0,0,1,0,4,6,10,1,0,0,0,1,8
Furkan Korkmaz,PHI,30,W,1,3,0.333,0,1,0,0,0,0,0,0,0,0,1,0,2,2,2
Mike Scott,PHI,30,W,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Isaiah Joe,PHI,30,W,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Tony Bradley,PHI,30,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Ferguson,PHI,30,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Poirier,PHI,30,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,30,W,41,87,0.471,7,21,0.333,23,29,0.793,16,37,53,23,5,7,15,18,112
Zach LaVine,CHI,30,L,9,28,0.321,2,10,0.2,10,10,1,1,4,5,5,2,1,4,4,30
Garrett Temple,CHI,30,L,4,8,0.5,1,3,0.333,1,1,1,2,3,5,2,1,2,0,2,10
Patrick Williams,CHI,30,L,2,5,0.4,0,1,0,2,2,1,0,3,3,2,1,0,3,2,6
Coby White,CHI,30,L,4,11,0.364,1,5,0.2,0,0,0,2,4,6,5,0,0,0,3,9
Wendell Carter,CHI,30,L,7,13,0.538,1,2,0.5,0,0,0,0,4,4,1,0,0,1,3,15
Tomas Satoransky,CHI,30,L,3,4,0.75,1,2,0.5,3,3,1,1,1,2,2,0,0,0,1,10
Thaddeus Young,CHI,30,L,6,9,0.667,0,0,0,0,0,0,6,3,9,3,0,1,2,4,12
Ryan Arcidiacono,CHI,30,L,4,10,0.4,0,3,0,2,2,1,1,2,3,4,1,0,0,0,10
Denzel Valentine,CHI,30,L,1,4,0.25,1,4,0.25,0,0,0,0,3,3,0,0,0,0,1,3
Luke Kornet,CHI,30,L,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
Daniel Gafford,CHI,30,L,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0
Cristiano Felicio,CHI,30,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,CHI,30,L,40,95,0.421,7,32,0.219,18,18,1,13,29,42,24,5,6,11,20,105
Ben Simmons,PHI,31,L,9,11,0.818,0,0,0,10,14,0.714,4,5,9,5,1,0,1,4,28
Tobias Harris,PHI,31,L,6,17,0.353,1,9,0.111,0,0,0,1,3,4,7,1,1,0,3,13
Joel Embiid,PHI,31,L,6,20,0.3,1,3,0.333,12,14,0.857,2,15,17,2,0,2,2,0,25
Seth Curry,PHI,31,L,4,12,0.333,2,7,0.286,2,4,0.5,0,3,3,6,1,1,3,3,12
Danny Green,PHI,31,L,3,6,0.5,3,6,0.5,0,0,0,0,2,2,1,5,2,2,6,9
Shake Milton,PHI,31,L,3,11,0.273,3,7,0.429,0,0,0,1,1,2,2,0,0,1,1,9
Matisse Thybulle,PHI,31,L,0,1,0,0,1,0,0,0,0,1,0,1,3,0,0,1,3,0
Isaiah Joe,PHI,31,L,1,2,0.5,1,2,0.5,0,0,0,0,2,2,0,0,0,0,0,3
Dwight Howard,PHI,31,L,1,3,0.333,0,0,0,2,3,0.667,2,3,5,0,0,1,0,1,4
Furkan Korkmaz,PHI,31,L,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Ferguson,PHI,31,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Scott,PHI,31,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrese Maxey,PHI,31,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Poirier,PHI,31,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Bradley,PHI,31,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,31,L,33,85,0.388,11,37,0.297,26,35,0.743,11,34,45,26,8,7,10,21,103
Pascal Siakam,TOR,31,W,8,18,0.444,1,3,0.333,6,6,1,1,6,7,8,1,0,2,4,23
Fred VanVleet,TOR,31,W,7,15,0.467,5,10,0.5,4,5,0.8,1,4,5,9,1,1,0,3,23
OG Anunoby,TOR,31,W,4,6,0.667,0,1,0,2,3,0.667,1,5,6,1,0,1,3,1,10
Norman Powell,TOR,31,W,3,11,0.273,1,4,0.25,4,4,1,0,2,2,1,0,0,6,3,11
DeAndre' Bembry,TOR,31,W,4,4,1,0,0,0,0,0,0,1,3,4,2,0,0,2,5,8
Aron Baynes,TOR,31,W,4,9,0.444,0,3,0,0,0,0,0,5,5,0,1,0,0,5,8
Terence Davis,TOR,31,W,3,8,0.375,2,6,0.333,0,0,0,0,4,4,3,2,0,0,0,8
Chris Boucher,TOR,31,W,6,8,0.75,5,6,0.833,0,0,0,1,4,5,1,0,3,1,3,17
Matt Thomas,TOR,31,W,1,2,0.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2
Stanley Johnson,TOR,31,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuta Watanabe,TOR,31,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Watson,TOR,31,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick McCaw,TOR,31,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malachi Flynn,TOR,31,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,TOR,31,W,40,81,0.494,14,34,0.412,16,18,0.889,5,34,39,25,5,5,14,24,110
Tobias Harris,PHI,32,W,8,12,0.667,3,4,0.75,4,5,0.8,0,7,7,5,1,2,1,0,23
Joel Embiid,PHI,32,W,3,13,0.231,1,1,1,11,12,0.917,3,9,12,2,1,1,6,4,18
Ben Simmons,PHI,32,W,5,11,0.455,0,0,0,5,6,0.833,4,5,9,7,0,1,3,3,15
Danny Green,PHI,32,W,3,9,0.333,3,9,0.333,2,3,0.667,2,3,5,2,3,0,2,2,11
Furkan Korkmaz,PHI,32,W,5,11,0.455,5,11,0.455,4,4,1,0,7,7,2,0,0,1,2,19
Shake Milton,PHI,32,W,4,10,0.4,3,6,0.5,0,0,0,0,1,1,2,0,1,1,0,11
Matisse Thybulle,PHI,32,W,3,8,0.375,1,5,0.2,0,0,0,2,1,3,1,0,3,2,1,7
Dwight Howard,PHI,32,W,1,2,0.5,0,1,0,0,0,0,0,4,4,2,0,0,0,3,2
Mike Scott,PHI,32,W,1,2,0.5,1,1,1,0,0,0,0,5,5,1,0,0,2,0,3
Isaiah Joe,PHI,32,W,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Terrance Ferguson,PHI,32,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Bradley,PHI,32,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrese Maxey,PHI,32,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Poirier,PHI,32,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,32,W,33,80,0.413,17,38,0.447,26,30,0.867,12,42,54,24,5,8,18,15,109
Pascal Siakam,TOR,32,L,9,18,0.5,1,6,0.167,3,3,1,0,6,6,7,3,1,1,5,22
Fred VanVleet,TOR,32,L,4,14,0.286,2,5,0.4,2,3,0.667,0,8,8,8,2,4,1,2,12
Norman Powell,TOR,32,L,9,19,0.474,2,9,0.222,4,4,1,1,3,4,6,3,0,3,4,24
OG Anunoby,TOR,32,L,4,13,0.308,2,7,0.286,0,0,0,2,2,4,1,1,2,0,2,10
DeAndre' Bembry,TOR,32,L,1,3,0.333,0,1,0,2,2,1,0,4,4,4,2,1,2,1,4
Aron Baynes,TOR,32,L,5,10,0.5,1,3,0.333,0,1,0,2,2,4,2,0,1,2,2,11
Chris Boucher,TOR,32,L,4,6,0.667,2,3,0.667,0,0,0,2,1,3,0,1,1,1,4,10
Terence Davis,TOR,32,L,4,9,0.444,1,3,0.333,0,0,0,1,2,3,0,0,1,0,0,9
Matt Thomas,TOR,32,L,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0
Patrick McCaw,TOR,32,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Watson,TOR,32,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malachi Flynn,TOR,32,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuta Watanabe,TOR,32,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanley Johnson,TOR,32,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,TOR,32,L,40,93,0.43,11,37,0.297,11,13,0.846,8,30,38,29,12,11,10,20,102
Ben Simmons,PHI,33,W,6,11,0.545,0,0,0,3,5,0.6,1,2,3,7,2,1,0,0,15
Seth Curry,PHI,33,W,6,9,0.667,3,3,1,0,0,0,0,3,3,2,3,1,1,1,15
Joel Embiid,PHI,33,W,5,20,0.25,2,5,0.4,11,12,0.917,3,6,9,4,2,1,0,3,23
Danny Green,PHI,33,W,2,4,0.5,2,4,0.5,0,0,0,0,4,4,1,2,0,0,2,6
Tobias Harris,PHI,33,W,2,7,0.286,0,1,0,2,2,1,0,2,2,2,1,0,0,0,6
Mike Scott,PHI,33,W,2,5,0.4,2,5,0.4,0,0,0,0,3,3,0,0,0,0,0,6
Shake Milton,PHI,33,W,4,13,0.308,0,3,0,2,2,1,1,3,4,6,0,0,2,2,10
Furkan Korkmaz,PHI,33,W,3,7,0.429,2,5,0.4,1,2,0.5,0,1,1,2,0,0,0,2,9
Dwight Howard,PHI,33,W,6,7,0.857,0,1,0,2,2,1,3,5,8,1,1,3,3,2,14
